,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
173,67,2,657187,9519349,300,,,,,,
150,47,0,67,8133038,1,,,,,,
499,47,0,43,24454340,1,,,,,,
246,47,1,45,12891925,1,3.0,3.0,,,,
139,39,0,67,7312933,1,,,,,,
76,39,0,66,2988949,1,,,,,,
295,37,0,47,13495384,1,,,,,,
227,37,0,45,12661428,1,,,,,,
9,37,0,34,158428,1,,,,,,
233,41,1,47,12783297,1,5.0,3.0,,,,
459,41,1,47,23632718,1,5.0,3.0,,,,
41,41,0,39,494408,1,,,,,,
72,41,0,39,2811368,1,,,,,,
203,41,1,43,12376404,1,5.0,3.0,,,,
1,41,0,34,86400,1,,,,,,
520,41,6,70,24733606,3,4.0,3.0,,,,
543,41,6,69,25252006,3,5.0,4.0,,,,
600,41,6,71,26720806,4,3.0,0.0,,,,
424,43,0,45,22872911,1,,,,,,
350,34,1,45,14386074,1,5.0,3.0,,,,
63,65,1,41,1539767,1,5.0,5.0,,,,
