,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
79,41,0,65,3194279,1,,,,,,
87,41,1,65,3516325,1,5.0,5.0,,,,
107,41,1,65,4551749,1,5.0,5.0,,,,
110,41,1,65,4782814,1,5.0,5.0,,,,
122,41,1,65,5686004,1,5.0,5.0,,,,
133,41,0,65,6165002,1,,,,,,
137,41,1,65,6855138,1,5.0,5.0,,,,
146,41,0,65,7943328,1,,,,,,
155,41,0,65,8362608,1,,,,,,
160,41,0,65,8517950,1,,,,,,
1,41,0,34,86400,1,,,,,,
10,41,0,34,169247,1,,,,,,
31,41,1,34,374986,1,5.0,5.0,,,,
50,41,1,34,585647,1,5.0,5.0,,,,
4,41,0,37,127838,1,,,,,,
8,41,1,37,149161,1,5.0,5.0,,,,
16,41,1,37,233022,1,5.0,5.0,,,,
18,41,1,37,239793,1,5.0,5.0,,,,
84,41,1,40,3329197,1,5.0,5.0,,,,
102,41,1,40,4277208,1,5.0,5.0,,,,
140,41,0,40,7402620,1,,,,,,
203,41,1,43,12376404,1,5.0,3.0,,,,
238,41,0,43,12804335,1,,,,,,
261,41,0,43,12995812,1,,,,,,
338,41,0,43,14145805,1,,,,,,
451,41,1,43,23486223,1,5.0,3.0,,,,
236,41,0,45,12791955,1,,,,,,
249,41,0,45,12922810,1,,,,,,
233,41,1,47,12783297,1,5.0,3.0,,,,
459,41,1,47,23632718,1,5.0,3.0,,,,
482,41,1,47,24203836,1,5.0,3.0,,,,
208,41,1,57,12446577,1,5.0,0.0,,,,
234,41,1,57,12789587,1,5.0,0.0,,,,
334,41,1,57,14060371,1,5.0,0.0,,,,
335,41,1,58,14070628,1,5.0,4.0,,,,
418,41,1,58,22769068,1,5.0,4.0,,,,
13,41,0,27,216582,1,,,,,,
230,41,0,63,12721308,1,,,,,,
256,41,1,63,12981424,1,5.0,4.0,,,,
62,41,1,0,700042,1,5.0,5.0,,,,
78,41,1,0,3056926,1,5.0,5.0,,,,
89,41,0,0,3659034,1,,,,,,
98,41,1,0,4131639,1,5.0,5.0,,,,
151,41,0,0,8185766,1,,,,,,
520,41,6,70,24733606,3,4.0,3.0,,,,
41,41,0,39,494408,1,,,,,,
72,41,0,39,2811368,1,,,,,,
73,41,0,39,2916910,1,,,,,,
88,41,1,39,3600085,1,5.0,5.0,,,,
543,41,6,69,25252006,3,5.0,4.0,,,,
600,41,6,71,26720806,4,3.0,0.0,,,,
63,65,1,41,1539767,1,5.0,5.0,,,,
64,65,0,41,1815123,1,,,,,,
66,65,0,41,2219841,1,,,,,,
69,65,0,41,2531012,1,,,,,,
127,65,1,41,5830690,1,5.0,5.0,,,,
106,65,1,40,4496982,1,5.0,5.0,,,,
125,65,1,40,5766198,1,5.0,5.0,,,,
135,65,1,40,6482840,1,5.0,5.0,,,,
163,65,1,40,8903126,1,5.0,5.0,,,,
48,65,1,39,575922,1,5.0,5.0,,,,
65,65,0,39,2025218,1,,,,,,
170,65,1,39,9304539,1,5.0,5.0,,,,
14,34,1,41,218423,1,5.0,5.0,,,,
17,34,1,41,236079,1,5.0,5.0,,,,
26,34,1,41,345461,1,5.0,5.0,,,,
327,34,1,41,13977408,1,5.0,5.0,,,,
552,34,0,41,26065708,1,,,,,,
558,34,0,41,26077285,1,,,,,,
5,34,1,37,137358,1,5.0,5.0,,,,
25,34,1,37,318223,1,5.0,5.0,,,,
350,34,1,45,14386074,1,5.0,3.0,,,,
322,34,1,56,13879565,1,5.0,0.0,,,,
289,34,0,58,13413050,1,,,,,,
323,34,1,58,13885382,1,5.0,4.0,,,,
12,37,1,41,183172,1,5.0,5.0,,,,
20,37,0,41,268112,1,,,,,,
34,37,0,41,401565,1,,,,,,
40,37,0,41,476347,1,,,,,,
