,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
431671,623468,0,550287,10737368,1.0,,,,,,
4691836,552765,1,623922,6495156,1.0,3.0,5.0,-24.8,-111.06299999999999,18.0278,153.188
4692438,491509,1,623922,9522498,1.0,1.0,5.0,-30.9965,-11.7777,18.0278,153.188
4693532,552765,0,623922,14787460,1.0,,,,,,
4693729,623922,1,654556,15838232,1.0,5.0,0.0,18.0278,153.188,44.1211,-46.4812
7068846,620791,1,623468,1855486,1.0,4.0,4.0,0.32756,-167.851,2.0146599999999997,-163.39
7068973,574136,1,620791,1991785,1.0,4.0,4.0,-1.6001,-161.631,0.32756,-167.851
7068974,574136,2,657187,1991785,633.0,,,,,,
7068975,620791,3,657187,1991785,633.0,,,,,,
7069095,620791,0,552765,2268574,1.0,,,,,,
7070767,620791,1,491509,4343780,1.0,4.0,1.0,0.32756,-167.851,-30.9965,-11.7777
7071682,620791,1,654556,5537586,1.0,4.0,0.0,0.32756,-167.851,44.1211,-46.4812
7072664,465195,1,620791,6831603,1.0,1.0,4.0,-27.608,-12.9561,0.32756,-167.851
7074742,620791,0,623922,9695323,1.0,,,,,,
7079953,620791,1,623922,16345934,1.0,4.0,5.0,0.32756,-167.851,18.0278,153.188
7084533,620791,1,552765,22039209,1.0,4.0,3.0,0.32756,-167.851,-24.8,-111.06299999999999
7086238,574136,1,620791,24131341,1.0,4.0,4.0,-1.6001,-161.631,0.32756,-167.851
7086712,620791,1,491509,24733917,1.0,4.0,1.0,0.32756,-167.851,-30.9965,-11.7777
7088037,620791,1,654556,26374830,1.0,4.0,0.0,0.32756,-167.851,44.1211,-46.4812
7090375,620791,0,552765,29300178,1.0,,,,,,
7091392,620791,1,623468,30419098,1.0,4.0,4.0,0.32756,-167.851,2.0146599999999997,-163.39
16387563,620235,1,552765,27244086,1.0,3.0,3.0,-24.2885,-110.82,-24.8,-111.06299999999999
21920267,480601,1,552765,27920101,1.0,5.0,3.0,21.3196,154.316,-24.8,-111.06299999999999
25723111,620235,1,567987,1929992,1.0,3.0,0.0,-24.2885,-110.82,28.623,-41.8479
25723112,620235,2,657187,1929992,1203.0,,,,,,
25723113,567987,3,657187,1929992,1203.0,,,,,,
26881457,592099,1,623468,2909363,1.0,3.0,4.0,-24.3391,-110.226,2.0146599999999997,-163.39
29500304,491509,1,654556,3199504,1.0,1.0,0.0,-30.9965,-11.7777,44.1211,-46.4812
31916923,620235,1,552765,20162007,1.0,3.0,3.0,-24.2885,-110.82,-24.8,-111.06299999999999
36227443,550287,0,592099,12279748,1.0,,,,,,
36227444,550287,2,657187,12279748,704.0,,,,,,
36227445,592099,3,657187,12279748,704.0,,,,,,
37886046,550287,0,465195,21168438,1.0,,,,,,
37886047,550287,2,657187,21168438,196.0,,,,,,
37886048,465195,3,657187,21168438,196.0,,,,,,
42909120,550287,1,654556,6137749,1.0,0.0,0.0,33.6737,-35.3495,44.1211,-46.4812
42909121,550287,2,657187,6137749,205.0,,,,,,
42909122,654556,3,657187,6137749,205.0,,,,,,
43299866,592099,0,592099,23592017,1.0,,,,,,
50155814,574136,1,552765,6742286,1.0,4.0,3.0,-1.6001,-161.631,-24.8,-111.06299999999999
50155815,574136,2,657187,6742286,546.0,,,,,,
50155816,552765,3,657187,6742286,546.0,,,,,,
52622374,574136,1,623468,22839875,1.0,4.0,4.0,-1.6001,-161.631,2.0146599999999997,-163.39
52622375,574136,2,657187,22839875,82.0,,,,,,
52622376,623468,3,657187,22839875,82.0,,,,,,
57587807,550287,1,491509,14031909,1.0,0.0,1.0,33.6737,-35.3495,-30.9965,-11.7777
