,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
173,67,2,657187,9519349,300,,,,,,
150,47,0,67,8133038,1,,,,,,
75,47,0,39,2950842,1,,,,,,
499,47,0,43,24454340,1,,,,,,
139,39,0,67,7312933,1,,,,,,
90,39,0,47,3759876,1,,,,,,
129,39,0,40,6040991,1,,,,,,
295,37,0,47,13495384,1,,,,,,
12,37,1,41,183172,1,5.0,5.0,,,,
227,37,0,45,12661428,1,,,,,,
213,37,0,56,12467442,1,,,,,,
217,37,0,58,12488631,1,,,,,,
2,37,0,27,94461,1,,,,,,
258,37,0,63,12985445,1,,,,,,
233,41,1,47,12783297,1,5.0,3.0,,,,
41,41,0,39,494408,1,,,,,,
72,41,0,39,2811368,1,,,,,,
84,41,1,40,3329197,1,5.0,5.0,,,,
62,41,1,0,700042,1,5.0,5.0,,,,
78,41,1,0,3056926,1,5.0,5.0,,,,
520,41,6,70,24733606,3,4.0,3.0,,,,
543,41,6,69,25252006,3,5.0,4.0,,,,
431,43,0,41,22989881,1,,,,,,
48,65,1,39,575922,1,5.0,5.0,,,,
63,65,1,41,1539767,1,5.0,5.0,,,,
83,65,1,0,3305014,1,5.0,5.0,,,,
67,40,0,39,2274508,1,,,,,,
519,40,6,69,24733606,1,5.0,4.0,,,,
594,40,6,71,26634406,6,3.0,0.0,,,,
5,34,1,37,137358,1,5.0,5.0,,,,
421,45,1,58,22853101,1,3.0,4.0,,,,
221,58,1,56,12535750,1,4.0,0.0,,,,
266,58,0,63,13033261,1,,,,,,
257,63,1,58,12982017,1,4.0,4.0,,,,
278,63,0,58,13243984,1,,,,,,
301,57,0,45,13560834,1,,,,,,
