,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
151203,600971,4,463021,-508376182,0.25,,,,,,
151204,561356,4,463021,-482659200,0.25,,,,,,
151205,609913,4,463021,-482659200,0.25,,,,,,
151206,611692,4,463021,-482659200,0.25,,,,,,
151542,593475,4,556853,-263203200,0.166667,,,,,,
151543,640468,4,556853,-263203200,0.166667,,,,,,
151544,568153,4,556853,-263203200,0.166667,,,,,,
151545,524533,4,556853,-263203200,0.166667,,,,,,
151546,609913,4,556853,-263203200,0.166667,,,,,,
151547,611692,4,556853,-263203200,0.166667,,,,,,
158552,487366,4,602041,-820483200,0.25,,,,,,
158553,567650,4,602041,-820483200,0.25,,,,,,
158554,540054,4,602041,-820483200,0.25,,,,,,
158555,518149,4,602041,-820483200,0.25,,,,,,
162660,498729,4,479464,-596966400,0.2,,,,,,
162661,577942,4,479464,-596966400,0.2,,,,,,
162662,560483,4,479464,-596966400,0.2,,,,,,
162663,609913,4,479464,-596966400,0.2,,,,,,
162664,611692,4,479464,-596966400,0.2,,,,,,
162665,615376,4,570772,-494582400,0.166667,,,,,,
162666,643732,4,570772,-494582400,0.166667,,,,,,
162667,577942,4,570772,-494582400,0.166667,,,,,,
162668,560483,4,570772,-494582400,0.166667,,,,,,
162669,609913,4,570772,-494582400,0.166667,,,,,,
162670,611692,4,570772,-494582400,0.166667,,,,,,
162671,577942,4,468934,-462960000,0.333333,,,,,,
162672,609913,4,468934,-462960000,0.333333,,,,,,
162673,611692,4,468934,-462960000,0.333333,,,,,,
164046,522869,4,609231,-896774400,0.1,,,,,,
164047,581364,4,609231,-896774400,0.1,,,,,,
164048,585216,4,609231,-896774400,0.1,,,,,,
164049,540000,4,609231,-896774400,0.1,,,,,,
164050,546952,4,609231,-896774400,0.1,,,,,,
164051,504951,4,609231,-896774400,0.1,,,,,,
164052,544564,4,609231,-896774400,0.1,,,,,,
164053,518149,4,609231,-896774400,0.1,,,,,,
164054,519298,4,609231,-896774400,0.1,,,,,,
164055,655210,4,609231,-896774400,0.1,,,,,,
173792,460077,4,469280,-970473600,0.166667,,,,,,
173793,567650,4,469280,-970473600,0.166667,,,,,,
