,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
214,635665,0,492777,20183932,1.0,,,,,,
220,635665,0,492777,20613879,1.0,,,,,,
221,635665,0,492777,20732418,1.0,,,,,,
244,635665,0,492777,21113875,1.0,,,,,,
251,635665,0,492777,21286766,1.0,,,,,,
269,635665,0,492777,21821195,1.0,,,,,,
272,635665,1,492777,21851592,1.0,0.0,3.0,29.3296,-37.8076,-24.5657,-110.65
276,635665,0,492777,22063595,1.0,,,,,,
284,635665,1,492777,22373265,1.0,0.0,3.0,29.3296,-37.8076,-24.5657,-110.65
294,635665,0,492777,22563050,1.0,,,,,,
321,635665,0,599956,24012811,1.0,,,,,,
322,635665,0,599956,24013644,1.0,,,,,,
326,635665,0,599956,24023510,1.0,,,,,,
329,635665,0,599956,24032432,1.0,,,,,,
216,635665,0,623295,20366682,1.0,,,,,,
224,635665,0,623295,20852050,1.0,,,,,,
275,635665,0,623295,22012691,1.0,,,,,,
278,635665,1,623295,22144205,1.0,0.0,3.0,29.3296,-37.8076,-25.4639,-111.249
253,635665,1,596193,21299339,1.0,0.0,2.0,29.3296,-37.8076,-17.1099,90.7971
299,635665,1,596193,22728254,1.0,0.0,2.0,29.3296,-37.8076,-17.1099,90.7971
313,635665,1,596193,23132563,1.0,0.0,2.0,29.3296,-37.8076,-17.1099,90.7971
54,635665,0,512397,5288962,1.0,,,,,,
63,635665,0,512397,6186726,1.0,,,,,,
66,635665,0,512397,6571211,1.0,,,,,,
78,635665,0,512397,7575721,1.0,,,,,,
81,635665,0,512397,8102731,1.0,,,,,,
327,635665,0,589639,24028546,1.0,,,,,,
330,635665,0,589639,24035137,1.0,,,,,,
336,635665,1,570411,24123324,1.0,0.0,0.0,29.3296,-37.8076,32.6654,-48.6701
353,635665,1,570411,24914745,1.0,0.0,0.0,29.3296,-37.8076,32.6654,-48.6701
358,635665,1,570411,25132002,1.0,0.0,0.0,29.3296,-37.8076,32.6654,-48.6701
342,635665,1,640464,24503371,1.0,0.0,0.0,29.3296,-37.8076,35.8806,-34.5372
343,635665,1,640464,24583501,1.0,0.0,0.0,29.3296,-37.8076,35.8806,-34.5372
348,635665,1,640464,24703970,1.0,0.0,0.0,29.3296,-37.8076,35.8806,-34.5372
258,635665,1,550361,21445593,1.0,0.0,2.0,29.3296,-37.8076,-18.3758,91.025
309,635665,1,550361,23043220,1.0,0.0,2.0,29.3296,-37.8076,-18.3758,91.025
154,635665,1,632150,10206980,1.0,0.0,2.0,29.3296,-37.8076,-27.2563,91.7676
59,635665,0,616050,5895251,1.0,,,,,,
132,635665,1,616050,9566701,1.0,0.0,2.0,29.3296,-37.8076,-20.9062,92.3982
58,635665,0,559657,5739273,1.0,,,,,,
68,635665,0,559657,6714914,1.0,,,,,,
72,635665,0,559657,7083468,1.0,,,,,,
73,635665,0,559657,7094212,1.0,,,,,,
76,635665,0,559657,7491939,1.0,,,,,,
345,635665,6,561157,24608347,1.0,2.0,0.0,-22.0,91.0,33.0,-41.0
228,635665,1,493044,20882094,1.0,0.0,2.0,29.3296,-37.8076,-20.8686,89.4217
229,635665,1,493044,20887397,1.0,0.0,2.0,29.3296,-37.8076,-20.8686,89.4217
301,635665,1,493044,22783893,1.0,0.0,2.0,29.3296,-37.8076,-20.8686,89.4217
310,635665,1,493044,23047530,1.0,0.0,2.0,29.3296,-37.8076,-20.8686,89.4217
256,635665,6,499467,21411547,1.0,3.0,2.0,-25.0,-111.0,-22.0,91.0
271,635665,6,625756,21843547,1.0,0.0,3.0,33.0,-41.0,-25.0,-111.0
232,492777,0,635665,20922688,1.0,,,,,,
