,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
222,629627,1,602912,11962409,1.0,4.0,1.0,-1.16067,-162.983,-28.3801,-9.461839999999999
287,629627,1,602912,21618588,1.0,4.0,1.0,-1.16067,-162.983,-28.3801,-9.461839999999999
297,629627,1,602912,21898652,1.0,4.0,1.0,-1.16067,-162.983,-28.3801,-9.461839999999999
298,629627,0,602912,21912550,1.0,,,,,,
300,629627,1,602912,21955909,1.0,4.0,1.0,-1.16067,-162.983,-28.3801,-9.461839999999999
311,629627,0,602912,22420882,1.0,,,,,,
333,629627,1,602912,22997872,1.0,4.0,1.0,-1.16067,-162.983,-28.3801,-9.461839999999999
366,629627,1,602912,23842037,1.0,4.0,1.0,-1.16067,-162.983,-28.3801,-9.461839999999999
216,629627,1,639051,11628219,1.0,4.0,3.0,-1.16067,-162.983,-25.421999999999997,-111.678
299,629627,1,639051,21938489,1.0,4.0,3.0,-1.16067,-162.983,-25.421999999999997,-111.678
321,629627,0,639051,22576342,1.0,,,,,,
322,629627,0,639051,22663848,1.0,,,,,,
330,629627,0,639051,22934478,1.0,,,,,,
331,629627,0,639051,22943918,1.0,,,,,,
336,629627,0,639051,23096951,1.0,,,,,,
357,629627,1,639051,23555844,1.0,4.0,3.0,-1.16067,-162.983,-25.421999999999997,-111.678
359,629627,0,639051,23613478,1.0,,,,,,
360,629627,0,639051,23636603,1.0,,,,,,
368,629627,0,639051,23885449,1.0,,,,,,
42,629627,1,505965,1779937,1.0,4.0,4.0,-1.16067,-162.983,-3.88606,-166.18599999999998
225,629627,1,505965,11985154,1.0,4.0,4.0,-1.16067,-162.983,-3.88606,-166.18599999999998
236,629627,0,505965,12338685,1.0,,,,,,
384,629627,1,505965,25085370,1.0,4.0,4.0,-1.16067,-162.983,-3.88606,-166.18599999999998
387,629627,1,505965,25090157,1.0,4.0,4.0,-1.16067,-162.983,-3.88606,-166.18599999999998
390,629627,1,505965,25096422,1.0,4.0,4.0,-1.16067,-162.983,-3.88606,-166.18599999999998
391,629627,1,505965,25096676,1.0,4.0,4.0,-1.16067,-162.983,-3.88606,-166.18599999999998
398,629627,0,505965,25122396,1.0,,,,,,
402,629627,0,505965,25127032,1.0,,,,,,
238,629627,1,544615,12408293,1.0,4.0,2.0,-1.16067,-162.983,-20.6565,91.7841
241,629627,1,544615,12440413,1.0,4.0,2.0,-1.16067,-162.983,-20.6565,91.7841
424,629627,1,544615,25237137,1.0,4.0,2.0,-1.16067,-162.983,-20.6565,91.7841
8,629627,1,515794,1316615,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998
18,629627,1,515794,1466354,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998
45,629627,1,515794,1804143,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998
195,629627,1,515794,10965136,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998
379,629627,1,515794,25080322,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998
382,629627,1,515794,25082444,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998
66,629627,0,582851,3409195,1.0,,,,,,
152,629627,0,582851,9386339,1.0,,,,,,
106,629627,0,534034,6598227,1.0,,,,,,
160,629627,0,534034,9960277,1.0,,,,,,
167,629627,1,534449,10475109,1.0,4.0,2.0,-1.16067,-162.983,-24.0127,90.9734
376,629627,1,534449,25070537,1.0,4.0,2.0,-1.16067,-162.983,-24.0127,90.9734
401,629627,1,534449,25126426,1.0,4.0,2.0,-1.16067,-162.983,-24.0127,90.9734
417,629627,1,534449,25152027,1.0,4.0,2.0,-1.16067,-162.983,-24.0127,90.9734
437,629627,1,534449,25576317,1.0,4.0,2.0,-1.16067,-162.983,-24.0127,90.9734
449,629627,1,534449,25775624,1.0,4.0,2.0,-1.16067,-162.983,-24.0127,90.9734
192,629627,1,477138,10934479,1.0,4.0,3.0,-1.16067,-162.983,-24.7171,-111.47399999999999
280,629627,0,477138,21201625,1.0,,,,,,
282,629627,0,477138,21338033,1.0,,,,,,
302,629627,1,477138,22142162,1.0,4.0,3.0,-1.16067,-162.983,-24.7171,-111.47399999999999
334,629627,0,477138,23012151,1.0,,,,,,
364,629627,1,477138,23795795,1.0,4.0,3.0,-1.16067,-162.983,-24.7171,-111.47399999999999
367,629627,1,477138,23881840,1.0,4.0,3.0,-1.16067,-162.983,-24.7171,-111.47399999999999
373,629627,0,477138,24303471,1.0,,,,,,
60,629627,0,585212,2950741,1.0,,,,,,
73,629627,0,585212,4440724,1.0,,,,,,
