,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
3625,566476,4,652563,-591868800,0.0909091,,,,,,
3626,652020,4,652563,-591868800,0.0909091,,,,,,
3627,560855,4,652563,-591868800,0.0909091,,,,,,
3628,531440,4,652563,-591868800,0.0909091,,,,,,
3629,546487,4,652563,-591868800,0.0909091,,,,,,
3630,555716,4,652563,-591868800,0.0909091,,,,,,
3631,644297,4,652563,-591868800,0.0909091,,,,,,
3632,538771,4,652563,-591868800,0.0909091,,,,,,
3633,585791,4,652563,-591868800,0.0909091,,,,,,
3634,565073,4,652563,-591868800,0.0909091,,,,,,
3635,591742,4,652563,-591868800,0.0909091,,,,,,
3780,515264,4,589499,-512899200,0.07142860000000001,,,,,,
3781,531574,4,589499,-512899200,0.07142860000000001,,,,,,
3782,626438,4,589499,-512899200,0.07142860000000001,,,,,,
3783,479897,4,589499,-512899200,0.07142860000000001,,,,,,
3784,579013,4,589499,-512899200,0.07142860000000001,,,,,,
3785,521185,4,589499,-512899200,0.07142860000000001,,,,,,
3786,498620,4,589499,-512899200,0.07142860000000001,,,,,,
3787,652020,4,589499,-512899200,0.07142860000000001,,,,,,
3788,577340,4,589499,-512899200,0.07142860000000001,,,,,,
3789,565073,4,589499,-512899200,0.07142860000000001,,,,,,
3790,544629,4,589499,-512899200,0.07142860000000001,,,,,,
3791,591742,4,589499,-512899200,0.07142860000000001,,,,,,
3792,538771,4,589499,-512899200,0.07142860000000001,,,,,,
3793,565164,4,589499,-512899200,0.07142860000000001,,,,,,
3827,465946,4,600158,-691574400,0.047619,,,,,,
3829,565073,4,600158,-691574400,0.047619,,,,,,
3832,636424,4,600158,-691574400,0.047619,,,,,,
3834,491573,4,600158,-691574400,0.047619,,,,,,
3836,538771,4,600158,-691574400,0.047619,,,,,,
3840,498620,4,600158,-691574400,0.047619,,,,,,
3841,626438,4,600158,-691574400,0.047619,,,,,,
3842,541803,4,600158,-691574400,0.047619,,,,,,
3844,566476,4,600158,-691574400,0.047619,,,,,,
3845,632832,4,600158,-691574400,0.047619,,,,,,
3846,652020,4,600158,-691574400,0.047619,,,,,,
3860,465946,4,530130,-733737600,0.0625,,,,,,
3861,566476,4,530130,-733737600,0.0625,,,,,,
3862,636424,4,530130,-733737600,0.0625,,,,,,
3863,652020,4,530130,-733737600,0.0625,,,,,,
3864,520801,4,530130,-733737600,0.0625,,,,,,
3865,516990,4,530130,-733737600,0.0625,,,,,,
3867,626438,4,530130,-733737600,0.0625,,,,,,
3869,491573,4,530130,-733737600,0.0625,,,,,,
3871,498620,4,530130,-733737600,0.0625,,,,,,
3872,632832,4,530130,-733737600,0.0625,,,,,,
3873,541803,4,530130,-733737600,0.0625,,,,,,
3874,538771,4,530130,-733737600,0.0625,,,,,,
3875,644297,4,493228,-592300800,0.125,,,,,,
3876,555716,4,493228,-592300800,0.125,,,,,,
3877,585791,4,493228,-592300800,0.125,,,,,,
3878,565073,4,493228,-592300800,0.125,,,,,,
3879,591742,4,493228,-592300800,0.125,,,,,,
3880,546487,4,493228,-592300800,0.125,,,,,,
3881,492871,4,493228,-592300800,0.125,,,,,,
3882,652020,4,493228,-592300800,0.125,,,,,,
3883,491573,4,473297,-591868800,0.125,,,,,,
3884,555716,4,473297,-591868800,0.125,,,,,,
3885,644297,4,473297,-591868800,0.125,,,,,,
3886,585791,4,473297,-591868800,0.125,,,,,,
3887,565073,4,473297,-591868800,0.125,,,,,,
3888,591742,4,473297,-591868800,0.125,,,,,,
3889,546487,4,473297,-591868800,0.125,,,,,,
3890,652020,4,473297,-591868800,0.125,,,,,,
3891,644297,4,611716,-591868800,0.14285699999999998,,,,,,
3892,555716,4,611716,-591868800,0.14285699999999998,,,,,,
3893,585791,4,611716,-591868800,0.14285699999999998,,,,,,
3894,591742,4,611716,-591868800,0.14285699999999998,,,,,,
3895,565073,4,611716,-591868800,0.14285699999999998,,,,,,
3896,546487,4,611716,-591868800,0.14285699999999998,,,,,,
3897,652020,4,611716,-591868800,0.14285699999999998,,,,,,
3898,652020,4,541249,-619948800,0.2,,,,,,
3899,546487,4,541249,-619948800,0.2,,,,,,
3900,555716,4,541249,-619948800,0.2,,,,,,
3901,565073,4,541249,-619948800,0.2,,,,,,
3902,591742,4,541249,-619948800,0.2,,,,,,
3903,539232,4,520589,-610272000,0.0909091,,,,,,
3904,566476,4,520589,-610272000,0.0909091,,,,,,
3905,644297,4,520589,-610272000,0.0909091,,,,,,
3906,555716,4,520589,-610272000,0.0909091,,,,,,
3907,538771,4,520589,-610272000,0.0909091,,,,,,
3908,652020,4,520589,-610272000,0.0909091,,,,,,
3909,585791,4,520589,-610272000,0.0909091,,,,,,
3910,565073,4,520589,-610272000,0.0909091,,,,,,
3911,591742,4,520589,-610272000,0.0909091,,,,,,
3912,531440,4,520589,-610272000,0.0909091,,,,,,
3913,546487,4,520589,-610272000,0.0909091,,,,,,
3914,652020,4,591177,-619948800,0.2,,,,,,
3915,546487,4,591177,-619948800,0.2,,,,,,
3916,555716,4,591177,-619948800,0.2,,,,,,
3917,565073,4,591177,-619948800,0.2,,,,,,
3918,591742,4,591177,-619948800,0.2,,,,,,
3919,652020,4,574520,-619948800,0.2,,,,,,
3920,546487,4,574520,-619948800,0.2,,,,,,
3921,555716,4,574520,-619948800,0.2,,,,,,
3922,565073,4,574520,-619948800,0.2,,,,,,
3923,591742,4,574520,-619948800,0.2,,,,,,
4031,465946,4,498205,-669801600,0.0625,,,,,,
4032,652020,4,498205,-669801600,0.0625,,,,,,
4034,553591,4,498205,-669801600,0.0625,,,,,,
4035,626438,4,498205,-669801600,0.0625,,,,,,
4037,636424,4,498205,-669801600,0.0625,,,,,,
4039,565073,4,498205,-669801600,0.0625,,,,,,
4040,541803,4,498205,-669801600,0.0625,,,,,,
4042,538771,4,498205,-669801600,0.0625,,,,,,
4044,531440,4,498205,-669801600,0.0625,,,,,,
4045,546487,4,498205,-669801600,0.0625,,,,,,
4046,498620,4,498205,-669801600,0.0625,,,,,,
4047,465946,4,551513,-701769600,0.0666667,,,,,,
4049,566476,4,551513,-701769600,0.0666667,,,,,,
4050,652020,4,551513,-701769600,0.0666667,,,,,,
4051,553591,4,551513,-701769600,0.0666667,,,,,,
4052,626438,4,551513,-701769600,0.0666667,,,,,,
4053,498620,4,551513,-701769600,0.0666667,,,,,,
4055,636424,4,551513,-701769600,0.0666667,,,,,,
4057,491573,4,551513,-701769600,0.0666667,,,,,,
4058,565073,4,551513,-701769600,0.0666667,,,,,,
4059,541803,4,551513,-701769600,0.0666667,,,,,,
4060,538771,4,551513,-701769600,0.0666667,,,,,,
4109,572223,4,543069,-528710400,0.125,,,,,,
4110,644980,4,543069,-528710400,0.125,,,,,,
4111,467951,4,543069,-528710400,0.125,,,,,,
4112,615461,4,543069,-528710400,0.125,,,,,,
4113,472628,4,543069,-528710400,0.125,,,,,,
4114,492871,4,543069,-528710400,0.125,,,,,,
4115,652020,4,543069,-528710400,0.125,,,,,,
4116,565073,4,543069,-528710400,0.125,,,,,,
4347,530517,4,480605,-510307200,0.125,,,,,,
4348,467951,4,480605,-510307200,0.125,,,,,,
4349,649501,4,480605,-510307200,0.125,,,,,,
4350,577915,4,480605,-510307200,0.125,,,,,,
4351,565073,4,480605,-510307200,0.125,,,,,,
4352,615461,4,480605,-510307200,0.125,,,,,,
4353,652020,4,480605,-510307200,0.125,,,,,,
4354,472628,4,480605,-510307200,0.125,,,,,,
4355,578861,4,591795,-476006400,0.14285699999999998,,,,,,
4356,577915,4,591795,-476006400,0.14285699999999998,,,,,,
4357,649501,4,591795,-476006400,0.14285699999999998,,,,,,
4358,565073,4,591795,-476006400,0.14285699999999998,,,,,,
4359,482879,4,591795,-476006400,0.14285699999999998,,,,,,
4360,652020,4,591795,-476006400,0.14285699999999998,,,,,,
4361,615461,4,591795,-476006400,0.14285699999999998,,,,,,
4362,578861,4,532404,-465638400,0.14285699999999998,,,,,,
4363,577915,4,532404,-465638400,0.14285699999999998,,,,,,
4364,649501,4,532404,-465638400,0.14285699999999998,,,,,,
4365,565073,4,532404,-465638400,0.14285699999999998,,,,,,
4366,482879,4,532404,-465638400,0.14285699999999998,,,,,,
4367,652020,4,532404,-465638400,0.14285699999999998,,,,,,
4368,615461,4,532404,-465638400,0.14285699999999998,,,,,,
4369,578861,4,517272,-476006400,0.14285699999999998,,,,,,
