,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
122700307,550287,0,512397,8408133,1.0,,,,,,
122700308,550287,0,512397,8684963,1.0,,,,,,
122700309,550287,0,512397,8890301,1.0,,,,,,
91993452,550287,1,480601,13142151,1.0,0.0,5.0,33.6737,-35.3495,21.3196,154.316
96061321,550287,1,480601,18325448,1.0,0.0,5.0,33.6737,-35.3495,21.3196,154.316
36227444,550287,2,657187,12279748,704.0,,,,,,
37886047,550287,2,657187,21168438,196.0,,,,,,
42909121,550287,2,657187,6137749,205.0,,,,,,
57587808,550287,2,657187,14031909,839.0,,,,,,
91993453,550287,2,657187,13142151,17.0,,,,,,
122700187,550287,2,657187,10250285,170.0,,,,,,
122700189,550287,2,657187,12459732,314.0,,,,,,
122700191,550287,2,657187,14490022,445.0,,,,,,
122700193,550287,2,657187,16267662,792.0,,,,,,
122700180,512397,0,550287,8811852,1.0,,,,,,
122700181,512397,0,550287,10409865,1.0,,,,,,
122700182,512397,0,550287,12670289,1.0,,,,,,
122700183,512397,0,550287,14384733,1.0,,,,,,
122700184,512397,0,550287,15835592,1.0,,,,,,
110777864,480601,1,550287,27746280,1.0,5.0,0.0,21.3196,154.316,33.6737,-35.3495
91993454,480601,3,657187,13142151,17.0,,,,,,
77288376,480601,1,620791,28023885,1.0,5.0,4.0,21.3196,154.316,0.32756,-167.851
70162631,480601,1,654556,26619640,1.0,5.0,0.0,21.3196,154.316,44.1211,-46.4812
4693729,623922,1,654556,15838232,1.0,5.0,0.0,18.0278,153.188,44.1211,-46.4812
99885157,623922,1,623468,13048740,1.0,5.0,4.0,18.0278,153.188,2.0146599999999997,-163.39
29500304,491509,1,654556,3199504,1.0,1.0,0.0,-30.9965,-11.7777,44.1211,-46.4812
4692438,491509,1,623922,9522498,1.0,1.0,5.0,-30.9965,-11.7777,18.0278,153.188
36227444,550287,2,657187,12279748,704.0,,,,,,
37886047,550287,2,657187,21168438,196.0,,,,,,
42909121,550287,2,657187,6137749,205.0,,,,,,
57587808,550287,2,657187,14031909,839.0,,,,,,
91993453,550287,2,657187,13142151,17.0,,,,,,
122700187,550287,2,657187,10250285,170.0,,,,,,
122700189,550287,2,657187,12459732,314.0,,,,,,
122700191,550287,2,657187,14490022,445.0,,,,,,
122700193,550287,2,657187,16267662,792.0,,,,,,
122700307,550287,0,512397,8408133,1.0,,,,,,
122700308,550287,0,512397,8684963,1.0,,,,,,
122700309,550287,0,512397,8890301,1.0,,,,,,
91993452,550287,1,480601,13142151,1.0,0.0,5.0,33.6737,-35.3495,21.3196,154.316
96061321,550287,1,480601,18325448,1.0,0.0,5.0,33.6737,-35.3495,21.3196,154.316
122700188,512397,3,657187,10250285,170.0,,,,,,
122700190,512397,3,657187,12459732,314.0,,,,,,
122700192,512397,3,657187,14490022,445.0,,,,,,
122700194,512397,3,657187,16267662,792.0,,,,,,
