,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
79,41,0,65,3194279,1,,,,,,
87,41,1,65,3516325,1,5.0,5.0,,,,
107,41,1,65,4551749,1,5.0,5.0,,,,
110,41,1,65,4782814,1,5.0,5.0,,,,
122,41,1,65,5686004,1,5.0,5.0,,,,
133,41,0,65,6165002,1,,,,,,
137,41,1,65,6855138,1,5.0,5.0,,,,
146,41,0,65,7943328,1,,,,,,
1,41,0,34,86400,1,,,,,,
10,41,0,34,169247,1,,,,,,
31,41,1,34,374986,1,5.0,5.0,,,,
50,41,1,34,585647,1,5.0,5.0,,,,
51,41,0,34,588261,1,,,,,,
53,41,1,34,600413,1,5.0,5.0,,,,
54,41,1,34,609669,1,5.0,5.0,,,,
55,41,0,34,611246,1,,,,,,
57,41,0,34,631688,1,,,,,,
202,41,1,34,12375838,1,5.0,5.0,,,,
223,41,1,34,12548499,1,5.0,5.0,,,,
4,41,0,37,127838,1,,,,,,
8,41,1,37,149161,1,5.0,5.0,,,,
16,41,1,37,233022,1,5.0,5.0,,,,
18,41,1,37,239793,1,5.0,5.0,,,,
24,41,1,37,293985,1,5.0,5.0,,,,
44,41,0,37,540456,1,,,,,,
59,41,1,37,642322,1,5.0,5.0,,,,
337,41,1,37,14103223,1,5.0,5.0,,,,
353,41,0,37,14394386,1,,,,,,
84,41,1,40,3329197,1,5.0,5.0,,,,
102,41,1,40,4277208,1,5.0,5.0,,,,
140,41,0,40,7402620,1,,,,,,
203,41,1,43,12376404,1,5.0,3.0,,,,
238,41,0,43,12804335,1,,,,,,
261,41,0,43,12995812,1,,,,,,
338,41,0,43,14145805,1,,,,,,
451,41,1,43,23486223,1,5.0,3.0,,,,
509,41,1,43,24614505,1,5.0,3.0,,,,
236,41,0,45,12791955,1,,,,,,
249,41,0,45,12922810,1,,,,,,
233,41,1,47,12783297,1,5.0,3.0,,,,
459,41,1,47,23632718,1,5.0,3.0,,,,
237,41,1,56,12794809,1,5.0,0.0,,,,
311,41,0,56,13760644,1,,,,,,
342,41,1,56,14265140,1,5.0,0.0,,,,
554,41,1,56,26069480,1,5.0,0.0,,,,
589,41,0,56,26429126,1,,,,,,
596,41,0,56,26639985,1,,,,,,
208,41,1,57,12446577,1,5.0,0.0,,,,
234,41,1,57,12789587,1,5.0,0.0,,,,
334,41,1,57,14060371,1,5.0,0.0,,,,
340,41,0,57,14246262,1,,,,,,
581,41,1,57,26123883,1,5.0,0.0,,,,
591,41,0,57,26513034,1,,,,,,
601,41,1,57,26736418,1,5.0,0.0,,,,
602,41,1,57,26769074,1,5.0,0.0,,,,
230,41,0,63,12721308,1,,,,,,
256,41,1,63,12981424,1,5.0,4.0,,,,
62,41,1,0,700042,1,5.0,5.0,,,,
78,41,1,0,3056926,1,5.0,5.0,,,,
89,41,0,0,3659034,1,,,,,,
520,41,6,70,24733606,3,4.0,3.0,,,,
41,41,0,39,494408,1,,,,,,
72,41,0,39,2811368,1,,,,,,
543,41,6,69,25252006,3,5.0,4.0,,,,
600,41,6,71,26720806,4,3.0,0.0,,,,
614,41,6,72,27066406,6,0.0,5.0,,,,
63,65,1,41,1539767,1,5.0,5.0,,,,
64,65,0,41,1815123,1,,,,,,
66,65,0,41,2219841,1,,,,,,
69,65,0,41,2531012,1,,,,,,
127,65,1,41,5830690,1,5.0,5.0,,,,
106,65,1,40,4496982,1,5.0,5.0,,,,
14,34,1,41,218423,1,5.0,5.0,,,,
17,34,1,41,236079,1,5.0,5.0,,,,
26,34,1,41,345461,1,5.0,5.0,,,,
327,34,1,41,13977408,1,5.0,5.0,,,,
552,34,0,41,26065708,1,,,,,,
558,34,0,41,26077285,1,,,,,,
12,37,1,41,183172,1,5.0,5.0,,,,
