End Time,Name,Device Action,Device Product,Device Vendor,Source Address,Source Port,Source Zone Name,Destination Address,Destination Port,Destination Zone Name
Jul 30 2013 14:54:24,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.14.104,,AFRICOM 104.12.11-15.0,104.12.14.104,0,AFRICOM 104.12.11-15.0
Jul 30 2013 14:55:44,IIS Envelope - File Modification by IIS Process,,Host Intrusion Prevention,McAfee,104.12.21.13,,100.0.0.0-107.255.255.255 (IANA),104.12.21.13,0,100.0.0.0-107.255.255.255 (IANA)
Jul 30 2013 14:55:44,IIS Envelope - File Modification by IIS Process,,Host Intrusion Prevention,McAfee,104.12.21.13,,100.0.0.0-107.255.255.255 (IANA),104.12.21.13,0,100.0.0.0-107.255.255.255 (IANA)
Jul 30 2013 14:55:44,IIS Envelope - File Modification by IIS Process,,Host Intrusion Prevention,McAfee,104.12.21.13,,100.0.0.0-107.255.255.255 (IANA),104.12.21.13,0,100.0.0.0-107.255.255.255 (IANA)
Jul 30 2013 14:58:19,Access Protection - Prevent programs registering as a service,Permitted,Host Intrusion Prevention,McAfee,104.12.21.11,,100.0.0.0-107.255.255.255 (IANA),104.12.21.11,0,100.0.0.0-107.255.255.255 (IANA)
Jul 30 2013 14:58:19,Access Protection - Prevent programs registering to autorun,Permitted,Host Intrusion Prevention,McAfee,104.12.21.11,,100.0.0.0-107.255.255.255 (IANA),104.12.21.11,0,100.0.0.0-107.255.255.255 (IANA)
Jul 30 2013 14:58:19,Access Protection - Prevent creation of new executable files in the Windows folder,Permitted,Host Intrusion Prevention,McAfee,104.12.21.11,,100.0.0.0-107.255.255.255 (IANA),104.12.21.11,0,100.0.0.0-107.255.255.255 (IANA)
Jul 30 2013 14:58:19,Access Protection - Prevent creation of new executable files in the Windows folder,Permitted,Host Intrusion Prevention,McAfee,104.12.21.11,,100.0.0.0-107.255.255.255 (IANA),104.12.21.11,0,100.0.0.0-107.255.255.255 (IANA)
Jul 30 2013 14:59:39,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.13.106,,AFRICOM 104.12.11-15.0,104.12.13.106,0,AFRICOM 104.12.11-15.0
Jul 30 2013 14:59:49,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.11.109,,AFRICOM 104.12.11-15.0,104.12.11.109,0,AFRICOM 104.12.11-15.0
Jul 30 2013 14:59:49,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.12.107,,AFRICOM 104.12.11-15.0,104.12.12.107,0,AFRICOM 104.12.11-15.0
Jul 30 2013 14:59:49,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.11.109,,AFRICOM 104.12.11-15.0,104.12.11.109,0,AFRICOM 104.12.11-15.0
Jul 30 2013 14:59:50,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.12.107,,AFRICOM 104.12.11-15.0,104.12.12.107,0,AFRICOM 104.12.11-15.0
Jul 30 2013 15:00:14,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.15.103,,AFRICOM 104.12.11-15.0,104.12.15.103,0,AFRICOM 104.12.11-15.0
Jul 30 2013 15:00:46,No matching connection,,ASA,CISCO,64.82.108.2,,63.0.0.0-76.255.255.255 (ARIN),104.12.15.116,,AFRICOM 104.12.11-15.0
Jul 30 2013 15:00:49,IIS Envelope - File Modification by IIS Process,,Host Intrusion Prevention,McAfee,104.12.21.13,,100.0.0.0-107.255.255.255 (IANA),104.12.21.13,0,100.0.0.0-107.255.255.255 (IANA)
Jul 30 2013 15:00:49,IIS Envelope - File Modification by IIS Process,,Host Intrusion Prevention,McAfee,104.12.21.13,,100.0.0.0-107.255.255.255 (IANA),104.12.21.13,0,100.0.0.0-107.255.255.255 (IANA)
Jul 30 2013 15:00:49,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.11.108,,AFRICOM 104.12.11-15.0,104.12.11.108,0,AFRICOM 104.12.11-15.0
Jul 30 2013 15:00:49,IIS Envelope - File Modification by IIS Process,,Host Intrusion Prevention,McAfee,104.12.21.13,,100.0.0.0-107.255.255.255 (IANA),104.12.21.13,0,100.0.0.0-107.255.255.255 (IANA)
Jul 30 2013 15:00:50,IIS Envelope - File Modification by IIS Process,,Host Intrusion Prevention,McAfee,104.12.21.13,,100.0.0.0-107.255.255.255 (IANA),104.12.21.13,0,100.0.0.0-107.255.255.255 (IANA)
Jul 30 2013 15:00:50,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.11.108,,AFRICOM 104.12.11-15.0,104.12.11.108,0,AFRICOM 104.12.11-15.0
Jul 30 2013 15:00:54,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.11.105,,AFRICOM 104.12.11-15.0,104.12.11.105,0,AFRICOM 104.12.11-15.0
Jul 30 2013 15:00:55,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.11.105,,AFRICOM 104.12.11-15.0,104.12.11.105,0,AFRICOM 104.12.11-15.0
Jul 30 2013 15:01:36,No matching connection,,ASA,CISCO,64.82.108.2,,63.0.0.0-76.255.255.255 (ARIN),104.12.15.116,,AFRICOM 104.12.11-15.0
Jul 30 2013 15:01:45,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.12.101,,AFRICOM 104.12.11-15.0,104.12.12.101,0,AFRICOM 104.12.11-15.0
Jul 30 2013 15:01:45,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.12.101,,AFRICOM 104.12.11-15.0,104.12.12.101,0,AFRICOM 104.12.11-15.0
Jul 30 2013 15:01:55,Generic Application Invocation Protection,Permitted,Host Intrusion Prevention,McAfee,104.12.12.106,,AFRICOM 104.12.11-15.0,104.12.12.106,0,AFRICOM 104.12.11-15.0
